premise,hypothesis,true_label,predicted_label,word_overlap,categories,has_negation
A man wearing a suit with a name tag stands reading in front of a microphone as a screen behind him displays a presentation.,"A man with a name tag that reads ""Ben"" is standing in front of a screen.",entailment,neutral,57.14%,"long_hypothesis, missed_entailment",False
Jet flying low over a field with a woman in the field.,A woman watches a jet fly over her.,neutral,contradiction,57.14%,other,False
A man in sunglasses and shorts carrying a stick is walking.,A man with a visual impairment is walking.,neutral,entailment,57.14%,false_entailment,False
"A drummer plays the drums, while wearing a black dress shirt, and black and gray striped tie.",A darkly dressed drummer bangs on the drums.,entailment,neutral,37.50%,missed_entailment,False
Hiker in blue shirt and red shorts stands on hill near mountain.,The hiker is in the mountains.,neutral,entailment,40.00%,false_entailment,False
A young woman with a ponytail and her back to the camera is taking a picture of what seems to be some sort of procession.,A girl has time-traveled to the past to take pictures of the first Macy's Thanksgiving Day parade.,contradiction,neutral,26.67%,"long_hypothesis, quantifier",False
A young woman with a ponytail and her back to the camera is taking a picture of what seems to be some sort of procession.,A girl is taking pictures of a parade.,neutral,entailment,57.14%,"quantifier, false_entailment",False
A race car driver leaps from a burning car.,A race car driver performing a movie stunt.,neutral,contradiction,57.14%,other,False
A race car driver leaps from a burning car.,A race car driver escaping danger.,entailment,neutral,66.67%,missed_entailment,False
"A bridge with green supports leads to a sidewalk lining a row of houses with slanted roofs, a person is visible in the background walking towards the photographer past a bicycle.",The photographer is at a photo shoot in a building.,contradiction,neutral,55.56%,other,False
A girl in a green jersey top and blue shorts is getting ready to kick the soccer ball near the goal.,a girl wants to score a goal,entailment,neutral,50.00%,missed_entailment,False
A person is reaching up to touch the middle light fixture hanging from a ceiling.,She is touching the first light,contradiction,neutral,50.00%,other,False
A line of nine cheerleaders wearing short white skirts and tops with a yellow stripe and blue and white pompoms stand on the center line of a basketball court with spectators in the background.,The women are inside a gymnasium.,entailment,contradiction,33.33%,false_contradiction,False
"Two horses, one black and one brown, are pulling a man outside.",A man plows his field using horses.,neutral,contradiction,28.57%,other,False
"Two horses, one black and one brown, are pulling a man outside.",A man is being chased by two horses.,contradiction,neutral,37.50%,other,False
"An older man wearing a winter coat and jeans stands in front of a large, wheeled flower cart.",The older man has a heavy coat on.,entailment,neutral,50.00%,missed_entailment,False
"Four people, One male in a blue shirt and slacks with three females, one in pink, one in blue, and the other with a white shirt and blue blouse, in line to enter a yellow school bus, while a female in pink hold paper is on the phone.","Four people, One male in a blue shirt and slacks with three females, one in pink, one in blue, and the other with a blue shirt and blue blouse, in line to enter a yellow school bus, while a female in pink hold paper is on the phone.",contradiction,entailment,100.00%,"high_overlap, long_hypothesis, missed_contradiction",False
A man reclining with his feet up on the desk.,A man is leaning back in his chair.,entailment,contradiction,37.50%,false_contradiction,False
A man reclining with his feet up on the desk.,A man is standing next to his desk.,contradiction,entailment,50.00%,missed_contradiction,False
The little girl in yellow is touching the dad who has shaving cream on his face.,A little girl is shaving her fathers head,contradiction,neutral,50.00%,other,False
"A white-haired conductor is standing in front of an orchestra which is also standing, instruments in hand.",The conductor and orchestra are not sitting because the crowd is cheering.,neutral,contradiction,27.27%,negation,True
"Two young girls have fun on a trampoline, one of which appears to be falling down onto her back while the other poses with a smile behind her.",Two young girls are sitting on a trampoline talking.,contradiction,neutral,55.56%,other,False
A woman in a blue star printed dress stands next to a grill with food on it.,The woman has her husband hog tied and cooking on the barbecue.,contradiction,neutral,18.18%,low_overlap,False
A taxi is trying to drive on a street amidst a crowd of people.,The taxi is driving slow.,entailment,neutral,40.00%,missed_entailment,False
A group of people are standing on a platform and waiting for the subway train.,People gathering in a group,neutral,entailment,60.00%,false_entailment,False
There is a blue bowl and a fruit platter on the table which is covered with a white tablecloth.,An artist is setting up things to paint.,neutral,contradiction,12.50%,low_overlap,False
a skateboard performs a trick off a quarter pipe.,A skateboard does a trick at the park.,entailment,neutral,42.86%,missed_entailment,False
"A man, dressed in a green shirt with black pants, is transporting luggage strapped to a wheelbarrow, down a cobblestone road.",The road is pavement.,contradiction,entailment,25.00%,"short_hypothesis, missed_contradiction",False
"A man, dressed in a green shirt with black pants, is transporting luggage strapped to a wheelbarrow, down a cobblestone road.",The man is traveling.,neutral,entailment,25.00%,"short_hypothesis, false_entailment",False
A van with writing on it driving in front of a store.,A broken-down van in front of a shopping mall.,contradiction,neutral,62.50%,other,False
"Two men, two children, and a woman all sitting down near a stand filled with purses.",People are sitting near a stand filled with candy.,contradiction,neutral,66.67%,quantifier,False
"Four children playing at a preschool, one looking out the window, one is running, and the other two are playing with wooden blocks.",The children are looking out a window.,contradiction,entailment,85.71%,"high_overlap, missed_contradiction",False
"Four children playing at a preschool, one looking out the window, one is running, and the other two are playing with wooden blocks.",The children are sad because it is raining.,contradiction,neutral,50.00%,other,False
"Three teenagers, two without shoes having a water gun fight with various types of guns trying to spray each other.",Three teenage boys having a water fight inside.,entailment,neutral,62.50%,"negation, quantifier, missed_entailment",True
A man does a jump trick on a bike.,He just did a trick on his bike.,entailment,neutral,50.00%,missed_entailment,False
Three women are sitting on a wharf and kicking their feet in the water.,The sisters eat ice cream as they dip their feet in the ocean.,neutral,contradiction,33.33%,other,False
A butterfly has lit on the head of this sleeping toddler.,A butterfly is trying to kill a sleeping toddler.,contradiction,neutral,50.00%,other,False
A man in a restaurant having lunch.,The man is eating stardust.,contradiction,neutral,20.00%,other,False
A woman standing on one hand in an empty pool.,"The woman is a real estate agent specializing in renovation sales, and takes a moment to goof for her co-workers camera.",contradiction,neutral,15.00%,"negation, low_overlap, long_hypothesis",True
A group of 9 men and women walking upstairs.,The group is in a building.,entailment,neutral,33.33%,missed_entailment,False
Mountain biking in a forest during the early fall.,Bicycling through the woods in the Autumn.,entailment,neutral,33.33%,missed_entailment,False
two women walking in an area of destitution.,"Two FEMA workers walk down the street of the once beautiful suburban neighborhood, surveying the damage from the storm.",neutral,contradiction,12.50%,"low_overlap, long_hypothesis",False
"Very young boy standing in front of a bride and groom, wearing a suit and holding a ring-bearer's pillow.",A funny standing,contradiction,neutral,66.67%,short_hypothesis,False
The motorcyclist race on the course.,The man on the motorcycle road across the course while people chase him.,entailment,neutral,18.18%,"low_overlap, missed_entailment",False
Trucks racing,Four trucks are racing against each other in the relay.,entailment,neutral,20.00%,"quantifier, missed_entailment",False
"A man sits in a dingy stall which says ""Sol Septu"" on the sidewalk while a man poses before the stand but does not look at it.","A still sits in a dingy man which says ""why"" on the sidewalk while a stall poses before the man but refuses to look in it's direction.",contradiction,entailment,72.73%,"negation, high_overlap, long_hypothesis, missed_contradiction",True
A man with wine near a Christmas tree.,It is the holiday season.,neutral,entailment,0.00%,"low_overlap, false_entailment",False
Man looking at a woman that is smoking on the sidewalk.,Two people on a date stop by the side of the road to look in a store front window.,contradiction,neutral,17.65%,"low_overlap, long_hypothesis",False
It's Summer time and two girls play with bubbles near a boat dock.,It is warm outside.,neutral,entailment,0.00%,"low_overlap, short_hypothesis, false_entailment",False
It's Summer time and two girls play with bubbles near a boat dock.,They are on the boat dock.,contradiction,neutral,33.33%,other,False
Two men are carrying nets near a pier.,men walking by the river,neutral,contradiction,20.00%,other,False
Group of guys sitting in a circle.,The group is made up of guys.,entailment,neutral,28.57%,missed_entailment,False
Group of guys sitting in a circle.,There are no females around them.,neutral,contradiction,0.00%,"negation, low_overlap",True
Group of guys sitting in a circle.,The guys are sitting in a square.,contradiction,neutral,57.14%,other,False
A group of people gather on a outdoor patio.,Strangers meet together outside.,neutral,contradiction,0.00%,"low_overlap, short_hypothesis",False
An older man dressed in blue is sitting on the sidewalk surrounded by tools to polish shoes.,There were tools to shine something.,neutral,entailment,33.33%,false_entailment,False
A girl holds onto a rope above the water.,A girl is swimming.,contradiction,neutral,50.00%,short_hypothesis,False
"a woman siting in a black polka dot bathing suit top, and blue high waist underwear bottoms sitting in the sidewalk with three bags and a green bottle.",A woman looks odd sitting on the sidewalk with several bags and a bottle while wearing a bathing suit.,neutral,entailment,52.94%,"long_hypothesis, quantifier, false_entailment",False
Three people each lead one camel with riders in a silhouetted line across sand dunes and a gray sky.,People walking across the sand.,entailment,contradiction,40.00%,"quantifier, false_contradiction",False
A person throwing a yellow ball in the air.,The person throws a square,contradiction,neutral,60.00%,other,False
A man in a dark floral shirt and black jeans walks buy a brightly colored wall painted with a woman with bright green eyes.,A man walks past a newly painted mural of a woman.,entailment,neutral,44.44%,missed_entailment,False
A girl is playing the keyboard with her band.,A young girl is playing in a band.,entailment,neutral,71.43%,"high_overlap, missed_entailment",False
"A man is taking a scenic photo of mountains while framing the foreground with low-growth, colorful brush.",There is a person taking a close-up self portrait.,contradiction,neutral,37.50%,other,False
A man in a t-shirt is stirring something in a pot which is on a counter near a microwave oven.,A man is standing,neutral,entailment,75.00%,"high_overlap, short_hypothesis, false_entailment",False
Middle-aged man in casual clothes looking off-camera.,The man's face is in profile.,neutral,entailment,16.67%,"low_overlap, false_entailment",False
Three children are in the process of jumping into a pool in what appears to be a suburban backyard.,The backyard is in the front of the house.,contradiction,neutral,42.86%,other,False
A brown dog is pulling itself out of the water onto some rocks with a tennis ball in its mouth.,The dogs are fighting.,contradiction,neutral,25.00%,"short_hypothesis, quantifier",False
A team of men performing a life saving procedure.,The team of men are performing surgery.,neutral,entailment,57.14%,false_entailment,False
A team of men performing a life saving procedure.,The team of men were attacked by a shark.,neutral,contradiction,44.44%,other,False
A small dog wearing a denim miniskirt.,A dog is wearing a skirt.,entailment,contradiction,60.00%,false_contradiction,False
Skateboarder jumps a gap while being photographed,an artist does tricks on the street,contradiction,neutral,0.00%,low_overlap,False
Skateboarder jumps a gap while being photographed,a photographer takes pictures of a skateboarder doing tricks,entailment,neutral,25.00%,missed_entailment,False
People walking through dirt.,They are in the desert.,neutral,contradiction,0.00%,low_overlap,False
"A woman wearing a vertical striped top, sitting on a bench beside a telephone booth in a train station.",A woman gets on a train.,contradiction,neutral,60.00%,other,False
Scientists sit in a laboratory in sterile clothing while looking at microscopes.,A group of children are sitting in a science class,contradiction,neutral,22.22%,other,False
A girl in a red polka dot bikini is jumping off a sand dune.,A girl in a bikini jumps off a dune into a pirate ship.,contradiction,neutral,50.00%,other,False
"Beautiful young dancer performing dressed in white and silver performs an acrobatic, ballet, hula-hoop, dance routine while 4 female observers look on.",The young dancers are performing in front of people.,neutral,entailment,33.33%,false_entailment,False
"Nine women in blue and purple dresses and one man wearing a purple shirt and black pants, clap while a man dressed in black dances.",There is a group watching a street performance.,neutral,contradiction,14.29%,low_overlap,False
"Nine women in blue and purple dresses and one man wearing a purple shirt and black pants, clap while a man dressed in black dances.",People are protesting against the sexual dancing of gothic man.,contradiction,neutral,0.00%,low_overlap,False
toddlers playing with toys.,There is at least two children.,neutral,entailment,0.00%,"low_overlap, false_entailment",False
Two German sheperds snarling at each other.,Two puppies are play fighting.,neutral,contradiction,20.00%,quantifier,False
Three indoor track cyclist are being held balanced in place at the starting line by three attendants.,Three cyclists are preparing to race.,entailment,neutral,33.33%,missed_entailment,False
What appears to be a taller bald white man sitting next to a shorter black man in a reception area.,The taller bald white man is standing by the short black man.,entailment,contradiction,45.45%,false_contradiction,False
Several men in fluorescent pinnies work on a structure shrouded in a green veil while a cherry picker truck hauls material.,the men are building a top secret bomb,contradiction,neutral,25.00%,quantifier,False
A little girl plays in the ocean on the beach.,The girl is afraid of the sand.,neutral,contradiction,33.33%,other,False
Small red airplane flies over mountaintop dropping red substance over fire.,the plane is crashing,contradiction,neutral,0.00%,"low_overlap, short_hypothesis",False
A classroom full of students is looking in the same direction inside a bamboo structure.,A class taking a trip outside to visit a bamboo inspired structure.,neutral,contradiction,30.00%,other,False
A man in a gray shirt sorts through Hawaiian style shirts in a department store.,The man is shopping at the department store.,entailment,neutral,42.86%,missed_entailment,False
A man wearing a blue sweatshirt and a white hard hat is working on a construction project.,The man is a construction worker.,entailment,neutral,66.67%,missed_entailment,False
A parade of people is marching in Santa costumes on a city street.,A group is in christmas themed suits.,entailment,neutral,42.86%,missed_entailment,False
in a girls basketball game she is shooting a foul shot,The girl is taking extra shots fro the line.,entailment,neutral,12.50%,"low_overlap, missed_entailment",False
A man cooks a large amount of shellfish in a wok outdoors.,He made the  shellfish  outside.,entailment,neutral,20.00%,missed_entailment,False
A man cooks a large amount of shellfish in a wok outdoors.,the water  looks  cold  to swim in.,contradiction,neutral,0.00%,low_overlap,False
A blond child is hiding behind a wooden post.,The child might be outside.,entailment,neutral,20.00%,missed_entailment,False
A black dog and a goose swim in the water.,The goose has something in its mouth.,neutral,entailment,42.86%,false_entailment,False
Two men trying to hoist themselves up from the water on to a walkway made of tires.,two men are helping each other,neutral,entailment,33.33%,"quantifier, false_entailment",False
Two men are trying to kick each other.,Two men are fighting.,neutral,entailment,75.00%,"high_overlap, short_hypothesis, quantifier, false_entailment",False
A man in a large crowd converses with his friends.,A man is giving a speech to his peers.,neutral,entailment,37.50%,false_entailment,False
Construction workers walk towards their next job.,The workers are walking outside,entailment,neutral,20.00%,missed_entailment,False
Construction workers walk towards their next job.,The construction crew is done for the day,contradiction,neutral,14.29%,low_overlap,False
A small child is sitting on a stump in a forest clearing.,a little boy is playing hide and seek in the woods,contradiction,neutral,27.27%,other,False
Two guys are on a baseball field and one is about to hit the base.a group,One of the guys is a batter.,entailment,neutral,71.43%,"high_overlap, missed_entailment",False
A wrestler in purple curls up in a ball while one in blue celebrates.,The wrestler in purple celebrates.,contradiction,entailment,80.00%,"high_overlap, missed_contradiction",False
A wrestler in purple curls up in a ball while one in blue celebrates.,The wrestler in blue is undefeated.,contradiction,neutral,50.00%,other,False
Two teen girls relax on a black futon.,Two young girls are sitting inside.,neutral,entailment,33.33%,false_entailment,False
A group of people dressed in Santa Claus suits are looking towards an audience while a DJ runs a sound board and another person throws green balls into the air.,A band plays at a beach party.,neutral,contradiction,16.67%,"negation, low_overlap",True
A group of people dressed in Santa Claus suits are looking towards an audience while a DJ runs a sound board and another person throws green balls into the air.,A crowd of santas are on stage at a Christmas party.,entailment,neutral,30.00%,"negation, missed_entailment",True
"On a sunny day, in a lush, green field, one small girl inspects a rock while her friend goes off in another direction.",A girl watches something,neutral,entailment,50.00%,"negation, short_hypothesis, false_entailment",True
A dog begins to climb a brick staircase near plants.,The plants are dead.,neutral,contradiction,0.00%,"low_overlap, short_hypothesis",False
A determined crosscountry runner.,A runner transcends his psychial  boundaries,neutral,entailment,16.67%,"low_overlap, false_entailment",False
A determined crosscountry runner.,Running away from a stray dog,contradiction,neutral,16.67%,low_overlap,False
A man kneeling and a woman standing next to him.,The man is tying the woman's shoe.,neutral,contradiction,16.67%,low_overlap,False
A little girl with blond pigtails is being held upside down by a blond woman with a ponytail.,A blond woman is helping a little girl perform a handstand.,neutral,entailment,66.67%,false_entailment,False
A man in a lab coat looking into a microscope with containers in the background.,A man with a lab coat works in a lab.,neutral,entailment,75.00%,"high_overlap, false_entailment",False
A little brown-haired girl up in a tree.,There is a girl playing on the tree.,entailment,neutral,37.50%,missed_entailment,False
School kids all in blue backpacks.,Young students all carry blue book bags.,entailment,neutral,28.57%,"quantifier, missed_entailment",False
A man in a black shirt holding cloth next to a wooded structure as people walk around it.,A man is holding something near some trees as people pass by.,neutral,entailment,41.67%,"quantifier, false_entailment",False
The couple are wearing glasses intended for 3D movies.,A couple are wearing sunglasses.,contradiction,entailment,60.00%,missed_contradiction,False
Uniformed schoolgirls are walking together on the street.,The girls attend school.,entailment,neutral,25.00%,"short_hypothesis, missed_entailment",False
A person climbs a cliff face in the woods while others watch.,A person climbs a tree in the woods.,contradiction,neutral,71.43%,high_overlap,False
A group of people gathered to watch fireworks.,Everyone is outside looking into the sky.,entailment,contradiction,0.00%,"low_overlap, false_contradiction",False
A group of people gathered to watch fireworks.,The group gathered inside the house.,neutral,contradiction,40.00%,other,False
Four female athletes play beach volleyball at the London 2012 Olympics.,The women are great at beach volleyball.,entailment,neutral,42.86%,missed_entailment,False
Four female athletes play beach volleyball at the London 2012 Olympics.,They were hurt in a crash on the way to the Olympics.,contradiction,neutral,18.18%,low_overlap,False
"A child in a red jacket, waist deep in a pit on the beach.",A child is building a sandcastle on the beach.,contradiction,neutral,62.50%,other,False
A view down the train tracks in a large city.,A view from a bridge.,neutral,contradiction,50.00%,other,False
"Man in gray zippered jacket and red shirt pets a brown dog and holds a young girl in pink shirt, while a woman next to him holds an infant boy and a gray dog.",A man holds a small child while petting his dog with his girlfriend is holding her son and her dog.,entailment,neutral,41.18%,"long_hypothesis, missed_entailment",False
"Man in gray zippered jacket and red shirt pets a brown dog and holds a young girl in pink shirt, while a woman next to him holds an infant boy and a gray dog.",A woman and man are selling dogs and children.,contradiction,neutral,50.00%,other,False
A man in a suit and tie and a woman with luggage join others in waiting in the London Underground.,People are on a double decker bus in London.,contradiction,neutral,22.22%,other,False
Big hairy dog chews on a bone while lying on a furry toy.,The dog is laying on a pointy object,contradiction,entailment,37.50%,missed_contradiction,False
A woman in the street with a black shirt and stars with her mouth open.,The woman is getting her hair done.,contradiction,neutral,42.86%,other,False
Football players square off before a play.,There are people playing football outdoors,entailment,neutral,16.67%,"low_overlap, missed_entailment",False
A group of people plays a game on the floor of a living room while a TV plays in the background.,A group of people plays a fun game on the floor of a living room.,entailment,neutral,83.33%,"high_overlap, long_hypothesis, missed_entailment",False
A group of people plays a game on the floor of a living room while a TV plays in the background.,A group of friends are playing the xbox while other friends wait for their turn.,contradiction,neutral,35.71%,long_hypothesis,False
A group of people plays a game on the floor of a living room while a TV plays in the background.,A group of people are sitting on the floor.,entailment,contradiction,66.67%,false_contradiction,False
A man uses stereo equipment.,The man is hammering a,contradiction,neutral,40.00%,other,False
"A crowd is watching 2 shirtless men, one in yellow pants and one in black shorts perfom.",A crowd watches two shirtless men perform together.,entailment,neutral,37.50%,missed_entailment,False
A man holds wooden boards together as a young boy drives a nail into them.,An adult male holds wooden boards together as a boy hammers a nail into them.,entailment,contradiction,71.43%,"high_overlap, long_hypothesis, false_contradiction",False
A man wearing chuck taylor shoes and a tan shirt attempts to break free from a straitjacket in front of a crowd,a man in a straight jacket,entailment,contradiction,60.00%,false_contradiction,False
Two men working on something in a shop.,Two men are working on the same thing.,neutral,entailment,50.00%,false_entailment,False
Two people are walking towards a wooded building.,The building is walking toward the men.,contradiction,neutral,16.67%,low_overlap,False
several people standing below a clock tower with two clock faces.,several people are next to a building,neutral,entailment,42.86%,"quantifier, false_entailment",False
Two girls are walking down the street looking at items in the store windows.,Two friends are walking together to there house and decided to skip,contradiction,neutral,27.27%,other,False
"A man in an urban area is sweeping the sidewalks, with a group of people in the background, crossing a street.",The man is sweeping his home.,contradiction,neutral,66.67%,other,False
A man in a blue shirt climbs a rock while people behind him in red shirts watch.,A man watches others climbing a rock.,contradiction,entailment,33.33%,missed_contradiction,False
Here we have a guy using a pressure washer on the sidewalk.,The man is pressure washing his house.,contradiction,neutral,28.57%,other,False
A inside view of an apartment showing 2 couches and a coffee table.,There is a man sitting on one of the couches doing a crossword puzzle.,neutral,contradiction,23.08%,other,False
A man perched on a row of aquariums is using a net to scoop a fish from another aquarium.,A man works at a pet shop.,neutral,contradiction,33.33%,negation,True
A gathering of young African males under a thatched roof.,A group of men are standing on a roof.,contradiction,entailment,37.50%,missed_contradiction,False
Semi-pro martial artist practices his most powerful moves.,The martial artist has been trained.,neutral,entailment,33.33%,"quantifier, false_entailment",False
Semi-pro martial artist practices his most powerful moves.,The kid just started his kung fu training class.,contradiction,neutral,11.11%,"low_overlap, quantifier",False
A man in a blue polo raises his wineglass to toast.,A man drinks from his wineglass.,contradiction,entailment,50.00%,missed_contradiction,False
A blond woman talking on her cellphone as her hair blows,a woman talking to the TV,contradiction,neutral,50.00%,other,False
"A man in a brown jacket, white shirt, and dark slacks is holding a book with his finger on the page while sitting on a wooden floor, and leaning against a yellow wall with a door on one side and cloths on hangers on the other side.",A man sits on a wooden floor building a model ship.,contradiction,neutral,44.44%,other,False
A man carrying a hard hat is running down the street.,A man is performing in a parade with dogs.,contradiction,neutral,37.50%,other,False
Little kids enjoy sprinklers by running through them outdoors.,Children are getting wet on purpose.,entailment,neutral,0.00%,"low_overlap, missed_entailment",False
One man watching another man operate heavy machinery doing road construction.,Two workers are outside doing construction work.,neutral,entailment,14.29%,"negation, low_overlap, false_entailment",True
3 people walking through a small field.,A group of friends walking outside.,entailment,neutral,33.33%,missed_entailment,False
3 people walking through a small field.,Three people in a medow of flowers.,neutral,contradiction,28.57%,other,False
a pizza employee waiting for his next drive up customer,A person is picking up a pizza for dinner.,contradiction,neutral,50.00%,other,False
a pizza employee waiting for his next drive up customer,The employee is walking around the building.,neutral,contradiction,16.67%,low_overlap,False
A man is standing in front of a building holding heart shaped balloons and a woman is crossing the street.,Someone is holding something heavy outside.,contradiction,entailment,33.33%,missed_contradiction,False
A small child outside in front of a large dirt pile.,The small child will play in the dirt.,entailment,neutral,42.86%,missed_entailment,False
A slender woman wearing jeans and a colorful purse is standing on a large yellow maneuver.,The woman is wearing a blue shirt,neutral,contradiction,57.14%,other,False
A construction man appears to be staring at a device.,A laborer looks at his tools.,neutral,entailment,33.33%,false_entailment,False
A person writing something on a newspaper.,The person is writing a book.,contradiction,neutral,50.00%,other,False
A girl in a pink shirt tries to dump a bucket of water on another girl.,A girl wants to get another girl wet.,neutral,entailment,57.14%,"negation, false_entailment",True
"A young child, wearing a pink-polkadotted outfit, smiles at the camera as she lays on a white, shaggy rug.","the child is in stripe,",contradiction,entailment,20.00%,missed_contradiction,False
Man dressed in business casual attire playing the saxophone with the rest of a band.,Man plays a woodwind instrument.,entailment,contradiction,40.00%,false_contradiction,False
A lady is standing up holing a lamp that is turned on.,The lamp has a busted bulb.,contradiction,neutral,33.33%,other,False
A young child sits on some pillows with a green tray of chopped-up food in front of him.,A young man prepares to eat a meal.,neutral,contradiction,28.57%,quantifier,False
A group of women in white robes walk through the grass.,Women are at a spa,neutral,contradiction,40.00%,other,False
A woman in a colorful outfit sitting on the ground.,The woman is knitting a sweater.,contradiction,neutral,50.00%,other,False
A Latin American weaving fabric.,The person is making fabic,entailment,neutral,0.00%,"low_overlap, missed_entailment",False
A Latin American weaving fabric.,The person is from Italy,contradiction,neutral,0.00%,low_overlap,False
Three young people sit outside and engage with electronic devices.,There is a tin can and string telephone.,contradiction,neutral,12.50%,low_overlap,False
An older man is walking in a large grassy area with a small plane in the background about to land.,A person is outside.,neutral,entailment,50.00%,"short_hypothesis, false_entailment",False
People wait in line at bus stop.,The bus already has people waiting on it.,entailment,neutral,25.00%,missed_entailment,False
A man wearing an orange hard hat is being lowered down the side of a building.,The man is breaking into the building.,contradiction,neutral,66.67%,other,False
A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.,A person is studying graffiti on a building.,contradiction,neutral,28.57%,other,False
Boys on a field playing flag football with one boy wearing the red flag clutching the football while a boy with a yellow flag dives to get his red flag.,A boy attempts to tackle an opposing player in a game of flag football,entailment,neutral,38.46%,missed_entailment,False
A little boy in a striped shirt is standing behind a tree.,The boy is hiding outside.,entailment,neutral,40.00%,missed_entailment,False
There are two workers one is bent over with his butt to the camera,The worker is picking up a wrench from the ground.,neutral,contradiction,22.22%,other,False
A poor family is leaving their home with only a few belongings.,A family has been evicted.,neutral,entailment,40.00%,"quantifier, false_entailment",False
"A man at the beach, building a sand castle.",The waves have torn down a sand castle that the man is standing near.,contradiction,neutral,30.77%,other,False
A man and a dog on the beach.,The dog is eating a hamburger.,neutral,contradiction,50.00%,other,False
An african american runs with a basketball as a caucasion tries to take the ball from him.,"The white basketball player tries to get the ball from the black player, but he cannot get it.",neutral,contradiction,40.00%,"negation, long_hypothesis",True
A child is jumping off a platform into a pool.,The child is swimming.,entailment,neutral,50.00%,"short_hypothesis, missed_entailment",False
Young friends in a park relaxing and enjoying conversation with each other.,The park is conversing with the young others.,contradiction,entailment,42.86%,"quantifier, missed_contradiction",False
"A young woman with red hear and wearing a bikini top is standing with her hands together above her head, while three other people stand directly behind her with their arms in different positions, making the woman in front look as if she has many arms.","Four young people are lined up  behind another and they are holding their arms out so it looks like the arms all belong to the first person, a red haired woman in a bikini top.",entailment,neutral,38.71%,"negation, long_hypothesis, quantifier, missed_entailment",True
"A young woman with red hear and wearing a bikini top is standing with her hands together above her head, while three other people stand directly behind her with their arms in different positions, making the woman in front look as if she has many arms.","Four people are lined up one behind another and they are holding their arms out so it looks like the arms all belong to the first person, a red haired woman in a bikini top.",entailment,neutral,35.48%,"negation, long_hypothesis, quantifier, missed_entailment",True
Interior scene of fairly full tour bus.,There are many people on the bus.,entailment,neutral,14.29%,"low_overlap, quantifier, missed_entailment",False
A group of men are searching for something.,A group of men found treasure.,contradiction,neutral,66.67%,other,False
A crowd watching a soccer match.,A crowd enjoys a soccer match.,entailment,neutral,80.00%,"high_overlap, missed_entailment",False
A young boy is on a patio crowded with metal tables and chairs and 2 yellow umbrellas.,A young boy is at the park.,contradiction,neutral,57.14%,other,False
A young boy is on a patio crowded with metal tables and chairs and 2 yellow umbrellas.,A young boy is on a patio with lots of funiture.,entailment,neutral,70.00%,missed_entailment,False
A group of people standing on a sidewalk.,There are people in road.,contradiction,entailment,20.00%,missed_contradiction,False
A woman holding a red cup with a straw in it sits in front of a man and a woman looking at a book.,People read.,neutral,entailment,0.00%,"low_overlap, short_hypothesis, false_entailment",False
A snowboarder in a white coat in the air after a jump.,A snowboarder is flipping in the air.,neutral,entailment,57.14%,"negation, false_entailment",True
A young blond child wearing only a diaper sits on a large rock at the edge of a body of water while a large black dog stands in the water nearby.,A black lab stands in some water while a small child sits on a rock.,entailment,neutral,69.23%,"long_hypothesis, quantifier, missed_entailment",False
Red objects fall on men standing behind a red wall.,The objects are initially higher than the men.,neutral,entailment,14.29%,"low_overlap, false_entailment",False
Red objects fall on men standing behind a red wall.,The men are higher than the wall.,contradiction,entailment,33.33%,missed_contradiction,False
Gymnast photographed in mid flip.,gymnast does a back flip.,entailment,neutral,40.00%,missed_entailment,False
a man plays his guitar on the street.,The man is begging for money on the street.,neutral,contradiction,50.00%,other,False
A man in a black wetsuit with white shorts is windsurfing on a blue body of water with mountains in the background.,The man is windsurfing in his bathtub.,contradiction,neutral,71.43%,high_overlap,False
A woman is pushing her bike with a baby carriage in front.,A woman is taking her child for a stroll.,entailment,contradiction,50.00%,false_contradiction,False
Two men stand in a brightly colored alley.,Two men are standing near each other.,neutral,entailment,28.57%,"quantifier, false_entailment",False
Two men stand in a brightly colored alley.,Two men are passionately kissing in an alley.,neutral,contradiction,50.00%,other,False
A man parasailing in rough waters.,A man is drowining.,contradiction,entailment,50.00%,"short_hypothesis, missed_contradiction",False
A man parasailing in rough waters.,A man hangs from a parachute.,entailment,neutral,40.00%,missed_entailment,False
A man in a kitchen leaning over a table sharpening a knife.,A guy shines his shoes.,contradiction,neutral,20.00%,other,False
"A man lies in an alley next to two plastic bags, wearing one shoe and no shirt.",A man lies near an alley.,neutral,entailment,66.67%,"negation, false_entailment",True
"A man lies in an alley next to two plastic bags, wearing one shoe and no shirt.",A man lies in an alley with a shotgun and a bottle.,neutral,contradiction,70.00%,negation,True
A man with stubble on his face is holding a baby.,the boy is crying while being held back his mother,contradiction,neutral,20.00%,other,False
Several people are wading in a river in a deep gorge.,Several people are playing in the water.,entailment,neutral,57.14%,"quantifier, missed_entailment",False
The blond-haired and blue eyed child holds the wooden airplane in his hands.,A child is playing with a toy airplane.,entailment,neutral,14.29%,"low_overlap, missed_entailment",False
People laying in massage chairs,People relaxing in charis.,entailment,neutral,50.00%,"short_hypothesis, missed_entailment",False
Two young children in black clothing and padding perform a martial arts match where they compete against the other.,2 young boys compete in martial arts.,entailment,neutral,57.14%,missed_entailment,False
A dressed up woman walking next to a store at night.,A dressed up woman is walking next to a pharmacy at night.,neutral,contradiction,81.82%,high_overlap,False
